#separator:comma
#html:false
#notetype:Basic
#deck:GitHub Copilot
Front,Back,Tags
"What AI system powers GitHub Copilot?<br><br>A) GPT-3<br>B) OpenAI Codex<br>C) BERT<br>D) LaMDA","B) OpenAI Codex<br><br>GitHub Copilot is powered by the OpenAI Codex system, which was trained on a dataset that included a larger concentration of public source code than GPT-3.","github-copilot fundamentals"
"Which GitHub Copilot plan includes 2,000 code completions and 50 chat requests per month?<br><br>A) Copilot Pro<br>B) Copilot Business<br>C) Copilot Free<br>D) Copilot Enterprise","C) Copilot Free<br><br>GitHub Copilot Free includes 2,000 code completions per month, 50 chat requests per month, and access to both GPT-4o and Claude 3.5 Sonnet models.","github-copilot plans"
"Which Copilot subscription plan is designed for large organizations and includes personalized code suggestions based on internal/private code?<br><br>A) Copilot Pro+<br>B) Copilot Business<br>C) Copilot Enterprise<br>D) Copilot Pro","C) Copilot Enterprise<br><br>GitHub Copilot Enterprise is designed for large organizations, offering personalized code suggestions based on internal/private code, integration with GitHub Enterprise Cloud, and organization-wide customization.","github-copilot plans"
"What are Copilot's inline code suggestions called?<br><br>A) Phantom text<br>B) Ghost text<br>C) Shadow code<br>D) Hint text","B) Ghost text<br><br>When GitHub Copilot is enabled, it provides suggestions called ghost text. You can ignore it or accept it by pressing the Tab key.","github-copilot features"
"Which keyboard shortcut opens inline chat in VS Code on a Mac?<br><br>A) Ctrl+Shift+I<br>B) Cmd+Shift+C<br>C) Command+I<br>D) Cmd+Alt+C","C) Command+I<br><br>On a Mac, you can access inline chat by using Command+I. On Windows, the shortcut is Ctrl+I.","github-copilot ide"
"Which slash command generates unit tests for selected code?<br><br>A) /doc<br>B) /generate<br>C) /optimize<br>D) /tests","D) /tests<br><br>The /tests slash command creates unit tests for the selected code. Other commands include /doc (add comments), /explain (get explanations), and /optimize (improve runtime).","github-copilot slash-commands"
"Which slash command adds comments/documentation to selected code?<br><br>A) /comment<br>B) /doc<br>C) /explain<br>D) /annotate","B) /doc<br><br>The /doc slash command adds comments to the specified or selected code. The /explain command gets explanations about the code.","github-copilot slash-commands"
"How many principles make up Microsoft and GitHub's Responsible AI framework?<br><br>A) Four<br>B) Five<br>C) Six<br>D) Seven","C) Six<br><br>Microsoft and GitHub's Responsible AI framework consists of six principles: Fairness, Reliability and Safety, Privacy and Security, Inclusiveness, Transparency, and Accountability.","github-copilot responsible-ai"
"Which Responsible AI principle states that AI systems should treat all people fairly?<br><br>A) Inclusiveness<br>B) Transparency<br>C) Fairness<br>D) Accountability","C) Fairness<br><br>The Fairness principle states that AI systems should treat all people fairly. Techniques to achieve this include reviewing training data, testing models with balanced demographic samples, and using adversarial debiasing.","github-copilot responsible-ai"
"Which Responsible AI principle states that people should be responsible for how AI systems operate?<br><br>A) Transparency<br>B) Reliability and Safety<br>C) Inclusiveness<br>D) Accountability","D) Accountability<br><br>The Accountability principle states that AI creators should be responsible for how their systems operate and need to continuously monitor system performance and mitigate risks.","github-copilot responsible-ai"
"What technique does AI Privacy and Security use to replace personal details with random identifiers?<br><br>A) Aggregation<br>B) Anonymization<br>C) Pseudonymization<br>D) Tokenization","C) Pseudonymization<br><br>Pseudonymization replaces personal details with random identifiers to protect identities. Aggregation groups data into summaries, removing specific individual details.","github-copilot responsible-ai"
"What are the four core prompt engineering principles for GitHub Copilot (the 4 S's)?<br><br>A) Simple, Structured, Short, Supported<br>B) Single, Specific, Short, Surround<br>C) Solid, Specific, Succinct, Scoped<br>D) Single, Structured, Succinct, Sourced","B) Single, Specific, Short, Surround<br><br>The four core prompt engineering principles are: Single (focus on one task), Specific (explicit and detailed), Short (concise), and Surround (use descriptive filenames and keep related files open).","github-copilot prompt-engineering"
"Which learning approach involves GitHub Copilot generating code with NO examples provided, relying solely on its foundational training?<br><br>A) One-shot learning<br>B) Few-shot learning<br>C) Zero-shot learning<br>D) Transfer learning","C) Zero-shot learning<br><br>Zero-shot learning is where GitHub Copilot generates code without any specific examples, relying solely on its foundational training. It's ideal for rapidly implementing common patterns.","github-copilot prompt-engineering"
"Which learning approach provides a SINGLE example to help Copilot generate more context-aware, pattern-consistent responses?<br><br>A) Zero-shot learning<br>B) One-shot learning<br>C) Few-shot learning<br>D) Fine-tuning","B) One-shot learning<br><br>One-shot learning provides a single example, aiding the model in generating more context-aware responses that follow your specific patterns and conventions.","github-copilot prompt-engineering"
"What technique in prompt engineering involves instructing Copilot to act as a domain expert (e.g., 'Act as a cybersecurity expert')?<br><br>A) Chain prompting<br>B) Context injection<br>C) Role prompting<br>D) Few-shot prompting","C) Role prompting<br><br>Role prompting involves instructing GitHub Copilot to act as a specific type of expert (security expert, performance expert, testing specialist) to significantly improve the quality and relevance of generated code.","github-copilot prompt-engineering"
"What does the Fill-in-the-Middle (FIM) technique do during Copilot's prompt processing?<br><br>A) Fills in missing variable names<br>B) Considers both preceding and following code context<br>C) Completes function signatures only<br>D) Generates middle sections of long functions","B) Considers both preceding and following code context<br><br>The Fill-in-the-Middle (FIM) technique considers both the preceding and following code context, effectively expanding the model's understanding to generate more accurate and relevant code suggestions.","github-copilot internals"
"For how many days does GitHub typically retain Copilot Chat prompts and suggestions outside the code editor?<br><br>A) 7 days<br>B) 14 days<br>C) 28 days<br>D) 90 days","C) 28 days<br><br>For Copilot Chat used outside the code editor, GitHub typically retains prompts, suggestions, and supporting context for 28 days.","github-copilot data"
"What is the approximate context window size for GitHub Copilot Chat (in tokens)?<br><br>A) 1k tokens<br>B) 2k tokens<br>C) 4k tokens<br>D) 8k tokens","C) 4k tokens<br><br>Copilot Chat currently operates with a context window of 4k tokens. The standard Copilot context window typically ranges from approximately 200–500 lines of code or up to a few thousand tokens.","github-copilot internals"
"What is LoRA in the context of LLM fine-tuning?<br><br>A) Large Optimization and Retrieval Algorithm<br>B) Low-Rank Adaptation<br>C) Layered Output Ranking Analysis<br>D) Lightweight Output Regularization Approach","B) Low-Rank Adaptation<br><br>LoRA (Low-Rank Adaptation) fine-tuning adds smaller trainable parts to each layer of the pretrained model instead of changing everything, saving time and resources while achieving great results.","github-copilot llms"
"What is a Copilot Space?<br><br>A) A dedicated IDE plugin for AI-assisted coding<br>B) A dedicated Copilot chat grounded in a curated set of context you choose<br>C) A cloud environment for running Copilot agents<br>D) A GitHub repository template for AI projects","B) A dedicated Copilot chat grounded in a curated set of context you choose<br><br>A Copilot Space is a dedicated chat grounded in a curated set of context. You can feed it GitHub files, issues, pull requests, and free-text instructions focused on a specific topic.","github-copilot spaces"
"Which statement BEST describes the security model of Copilot Spaces?<br><br>A) Spaces grant special read access to all organization repos<br>B) Spaces only surface content that viewers are already entitled to see<br>C) Spaces require admin approval before sharing with teammates<br>D) Spaces encrypt all context and restrict access to the Space owner","B) Spaces only surface content that viewers are already entitled to see<br><br>A Space doesn't grant new access; it only surfaces content that viewers are already entitled to see based on their existing GitHub repo permissions.","github-copilot spaces"
"What does the Copilot Coding Agent do?<br><br>A) Reviews pull requests automatically<br>B) Performs multi-step coding tasks autonomously based on your instructions<br>C) Monitors code quality metrics across the organization<br>D) Generates documentation from existing code comments","B) Performs multi-step coding tasks autonomously based on your instructions<br><br>The Coding Agent acts as an autonomous AI assistant that can generate multiple related files, implement a feature set, and build scaffolding from a specification under your direction.","github-copilot features"
"Which Copilot feature auto-generates a summary description of code changes to help reviewers understand intent?<br><br>A) Copilot Chat<br>B) Code Review Assistance<br>C) Code Review Summaries<br>D) Inline Suggestions","C) Code Review Summaries<br><br>Code Review Summaries auto-generate a summary description of changes, helping reviewers understand intent, reducing the work in writing PR text, and improving clarity in collaboration.","github-copilot features"
